timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448662232,0.5791666666666667,0.5533333333333333,1112,664,1112,738,1920,1200,0,0,0,0,0,1,0,0,0
1612448662290,0.5708333333333333,0.5425,1096,651,1096,725,1920,1200,0,0,0,0,1,0,0,0,0
1612448662354,0.5671875,0.5366666666666666,1089,644,1089,718,1920,1200,0,0,0,0,0,0,1,0,0
1612448662407,0.5598958333333334,0.5225,1075,627,1075,701,1920,1200,0,0,0,0,0,0,1,0,0
1612448662462,0.5583333333333333,0.5191666666666667,1072,623,1072,697,1920,1200,0,0,0,0,0,0,1,0,0
1612448662523,0.5567708333333333,0.5158333333333334,1069,619,1069,693,1920,1200,0,0,0,0,0,0,1,0,0
1612448662583,0.5552083333333333,0.5133333333333333,1066,616,1066,690,1920,1200,0,0,0,0,0,0,1,0,0
1612448662640,0.553125,0.51,1062,612,1062,686,1920,1200,0,0,0,0,0,0,1,0,0
1612448662704,0.5515625,0.5083333333333333,1059,610,1059,684,1920,1200,0,0,0,0,0,0,1,0,0
1612448662757,0.55,0.5075,1056,609,1056,683,1920,1200,0,0,0,0,0,0,1,0,0
1612448662810,0.5453125,0.5075,1047,609,1047,683,1920,1200,0,0,0,0,0,0,1,0,0
1612448662870,0.5401041666666667,0.5075,1037,609,1037,683,1920,1200,0,0,0,0,0,0,1,0,0
1612448662923,0.5369791666666667,0.5116666666666667,1031,614,1031,688,1920,1200,0,0,0,0,0,0,1,0,0
1612448662976,0.5317708333333333,0.5208333333333334,1021,625,1021,699,1920,1200,0,0,0,0,0,0,1,0,0
1612448663038,0.5265625,0.5358333333333334,1011,643,1011,717,1920,1200,0,0,0,0,0,0,1,0,0
1612448663140,0.5182291666666666,0.6333333333333333,995,760,995,834,1920,1200,0,0,0,0,0,1,0,0,0
1612448663191,0.5109375,0.6858333333333333,981,823,981,897,1920,1200,0,0,0,0,1,0,0,0,0
1612448663248,0.5015625,0.7241666666666666,963,869,963,943,1920,1200,0,0,0,0,1,0,0,0,0
1612448663306,0.49114583333333334,0.7458333333333333,943,895,943,969,1920,1200,0,0,0,1,0,0,0,0,0
1612448663357,0.48020833333333335,0.7758333333333334,922,931,922,1005,1920,1200,0,0,0,1,0,0,0,0,0
1612448663413,0.46458333333333335,0.7958333333333333,892,955,892,1029,1920,1200,0,0,0,1,0,0,0,0,0
1612448663473,0.4588541666666667,0.79,881,948,881,1022,1920,1200,0,0,0,1,0,0,0,0,0
1612448663534,0.4588541666666667,0.79,881,948,881,1022,1920,1200,0,0,0,1,0,0,0,0,0
1612448663593,0.4588541666666667,0.79,881,948,881,1022,1920,1200,0,0,0,1,0,0,0,0,0
1612448663655,0.46145833333333336,0.7866666666666666,886,944,886,1018,1920,1200,0,0,0,1,0,0,0,0,0
1612448663707,0.46197916666666666,0.7825,887,939,887,1013,1920,1200,0,0,0,1,0,0,0,0,0
1612448663757,0.45989583333333334,0.7858333333333334,883,943,883,1017,1920,1200,0,0,0,1,0,0,0,0,0
1612448663807,0.4552083333333333,0.8016666666666666,874,962,874,1036,1920,1200,0,0,0,1,0,0,0,0,0
1612448663867,0.4484375,0.8233333333333334,861,988,861,1062,1920,1200,0,0,0,1,0,0,0,0,0
1612448663923,0.43802083333333336,0.8516666666666667,841,1022,841,1096,1920,1200,0,0,0,1,0,0,0,0,0
1612448663975,0.434375,0.8633333333333333,834,1036,834,1110,1920,1200,0,0,0,0,0,0,0,1,0
1612448664035,0.4317708333333333,0.8708333333333333,829,1045,829,1119,1920,1200,0,0,0,0,0,0,0,1,0
1612448664096,0.42916666666666664,0.8758333333333334,824,1051,824,1125,1920,1200,0,0,0,0,0,0,0,1,0
1612448664155,0.43125,0.8791666666666667,828,1055,828,1129,1920,1200,0,0,0,0,0,0,0,1,0
1612448664209,0.453125,0.8875,870,1065,870,1139,1920,1200,0,0,0,0,0,0,0,1,0
1612448664261,0.45677083333333335,0.885,877,1062,877,1136,1920,1200,0,0,0,0,0,0,0,1,0
1612448664322,0.45729166666666665,0.8841666666666667,878,1061,878,1135,1920,1200,0,0,0,0,0,0,0,1,0
1612448664382,0.4588541666666667,0.8825,881,1059,881,1133,1920,1200,0,0,0,0,0,0,0,1,0
1612448664443,0.459375,0.8825,882,1059,882,1133,1920,1200,0,0,0,0,0,0,0,1,0
1612448679689,0.496875,0.8866666666666667,954,1064,954,1138,1920,1200,0,0,0,1,0,0,0,0,0
1612448679741,0.5052083333333334,0.8925,970,1071,970,1145,1920,1200,0,0,0,1,0,0,0,0,0
1612448679801,0.509375,0.8925,978,1071,978,1145,1920,1200,0,0,0,1,0,0,0,0,0
1612448679891,0.5135416666666667,0.8925,986,1071,986,1145,1920,1200,0,0,0,1,0,0,0,0,0
1612448679951,0.5177083333333333,0.8908333333333334,994,1069,994,1143,1920,1200,0,0,0,0,0,0,0,1,0
1612448680012,0.5177083333333333,0.8908333333333334,994,1069,994,1143,1920,1200,0,0,0,0,0,0,0,1,0
1612448680073,0.5177083333333333,0.8908333333333334,994,1069,994,1143,1920,1200,0,0,0,0,0,0,0,1,0
1612448680134,0.5177083333333333,0.8908333333333334,994,1069,994,1143,1920,1200,0,0,0,0,0,0,0,1,0
1612448680195,0.5177083333333333,0.8908333333333334,994,1069,994,1143,1920,1200,0,0,0,0,0,0,0,1,0
1612448680254,0.5177083333333333,0.89,994,1068,994,1142,1920,1200,0,0,0,0,0,0,0,1,0
1612448680361,0.5171875,0.8891666666666667,993,1067,993,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448680421,0.5166666666666667,0.8891666666666667,992,1067,992,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448680471,0.5161458333333333,0.8883333333333333,991,1066,991,1140,1920,1200,0,0,0,0,0,0,0,1,0
1612448680526,0.5145833333333333,0.8875,988,1065,988,1139,1920,1200,0,0,0,0,0,0,0,1,0
1612448680587,0.5098958333333333,0.8875,979,1065,979,1139,1920,1200,0,0,0,0,0,0,0,1,0
1612448680639,0.5026041666666666,0.8883333333333333,965,1066,965,1140,1920,1200,0,0,0,0,0,0,0,1,0
1612448680692,0.4973958333333333,0.8891666666666667,955,1067,955,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448680753,0.49583333333333335,0.8891666666666667,952,1067,952,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448680805,0.49375,0.8891666666666667,948,1067,948,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448680858,0.4921875,0.8891666666666667,945,1067,945,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448680920,0.490625,0.8883333333333333,942,1066,942,1140,1920,1200,0,0,0,0,0,0,0,1,0
1612448680981,0.4895833333333333,0.8875,940,1065,940,1139,1920,1200,0,0,0,0,0,0,0,1,0
1612448681043,0.4869791666666667,0.8875,935,1065,935,1139,1920,1200,0,0,0,0,0,0,0,1,0
1612448681103,0.4859375,0.8875,933,1065,933,1139,1920,1200,0,0,0,0,0,0,0,1,0
1612448681155,0.4817708333333333,0.8875,925,1065,925,1139,1920,1200,0,0,0,0,0,0,0,1,0
