timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448697290,0.329296875,0.5645833333333333,843,813,3185,1324,2560,1440,1,0,0,0,0,0,0,1
1612448697341,0.329296875,0.5645833333333333,843,813,3185,1324,2560,1440,0,0,0,0,0,0,0,1
1612448697506,0.378125,0.44027777777777777,968,634,3373,1055,2560,1440,0,0,0,0,0,1,0,0
1612448697557,0.378125,0.44027777777777777,968,634,3373,1055,2560,1440,0,0,0,0,0,1,0,0
1612448697607,0.378125,0.44027777777777777,968,634,3373,1055,2560,1440,0,0,0,0,0,1,0,0
1612448697658,0.378125,0.44027777777777777,968,634,3373,1055,2560,1440,0,0,0,0,0,1,0,0
1612448697709,0.378125,0.44027777777777777,968,634,3373,1055,2560,1440,0,0,0,0,0,1,0,0
1612448697760,0.378125,0.44027777777777777,968,634,3373,1055,2560,1440,0,0,0,0,0,1,0,0
1612448697810,0.378125,0.44027777777777777,968,634,3373,1055,2560,1440,0,0,0,0,0,1,0,0
1612448697861,0.373046875,0.4201388888888889,955,605,3353,1012,2560,1440,0,0,0,0,0,1,0,0
1612448697911,0.3671875,0.38333333333333336,940,552,3330,933,2560,1440,0,0,0,0,0,1,0,0
1612448697962,0.3671875,0.38333333333333336,940,552,3330,933,2560,1440,0,0,0,0,0,1,0,0
1612448698013,0.36640625,0.3861111111111111,938,556,3327,938,2560,1440,0,0,0,0,0,1,0,0
1612448698063,0.366015625,0.3875,937,558,3326,941,2560,1440,0,0,0,0,0,1,0,0
1612448698165,0.3640625,0.3902777777777778,932,562,3319,947,2560,1440,0,0,0,0,0,1,0,0
1612448698215,0.355078125,0.37569444444444444,909,541,3284,916,2560,1440,0,0,0,0,0,1,0,0
1612448698266,0.316796875,0.3402777777777778,811,490,3137,840,2560,1440,0,0,0,0,0,0,1,0
1612448698317,0.248046875,0.2902777777777778,635,418,2873,732,2560,1440,0,0,0,0,0,0,1,0
1612448698367,0.230078125,0.27569444444444446,589,397,2804,700,2560,1440,0,0,0,0,0,0,1,0
1612448698418,0.225,0.2743055555555556,576,395,2785,697,2560,1440,0,0,0,0,0,0,1,0
1612448698469,0.2046875,0.29375,524,423,2707,739,2560,1440,0,0,0,0,0,0,1,0
1612448698519,0.168359375,0.3458333333333333,431,498,2567,852,2560,1440,0,0,0,0,0,0,1,0
1612448698570,0.1609375,0.37430555555555556,412,539,2538,913,2560,1440,0,0,0,0,0,1,0,0
1612448698621,0.160546875,0.3819444444444444,411,550,2537,930,2560,1440,0,0,0,0,0,1,0,0
1612448698672,0.161328125,0.38333333333333336,413,552,2540,933,2560,1440,0,0,0,0,0,1,0,0
1612448698722,0.161328125,0.38333333333333336,413,552,2540,933,2560,1440,0,0,0,0,0,1,0,0
1612448698773,0.161328125,0.38333333333333336,413,552,2540,933,2560,1440,0,0,0,0,0,1,0,0
1612448698824,0.161328125,0.38333333333333336,413,552,2540,933,2560,1440,0,0,0,0,0,1,0,0
1612448698874,0.161328125,0.3819444444444444,413,550,2540,929,2560,1440,0,0,0,0,0,1,0,0
1612448698925,0.16171875,0.38055555555555554,414,548,2541,927,2560,1440,0,0,0,0,0,1,0,0
1612448698976,0.16171875,0.38055555555555554,414,548,2541,927,2560,1440,0,0,0,0,0,1,0,0
1612448699027,0.16171875,0.38055555555555554,414,548,2541,927,2560,1440,0,0,0,0,0,1,0,0
1612448699078,0.16171875,0.38055555555555554,414,548,2541,927,2560,1440,0,0,0,0,0,1,0,0
1612448699179,0.16171875,0.38055555555555554,414,548,2541,927,2560,1440,0,0,0,0,0,1,0,0
1612448699230,0.169921875,0.35138888888888886,435,506,2573,863,2560,1440,0,0,0,0,0,0,1,0
1612448699281,0.17890625,0.3034722222222222,458,437,2608,760,2560,1440,0,0,0,0,0,0,1,0
1612448699332,0.187109375,0.2743055555555556,479,395,2639,697,2560,1440,0,0,0,0,0,0,1,0
1612448699382,0.18984375,0.25972222222222224,486,374,2650,666,2560,1440,0,0,0,0,0,0,1,0
1612448699433,0.19140625,0.25,490,360,2655,644,2560,1440,0,0,0,0,0,0,1,0
