timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom
1612448747681,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,1,0,0,0,0,0,1
1612448747731,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448747914,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448747965,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748015,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748065,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748115,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748166,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748216,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748266,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748316,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748367,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748417,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748467,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748518,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748568,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748618,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748668,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748719,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748769,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748819,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748869,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748920,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448748970,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749020,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749071,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749121,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749171,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749222,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749272,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749322,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749373,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749473,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749524,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749574,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749624,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749675,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749725,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749775,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749826,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749876,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749927,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448749977,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750027,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750078,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750128,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750178,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750228,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750279,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750329,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750379,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750480,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750530,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750581,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750631,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750681,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750731,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750782,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750832,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750882,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750932,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448750983,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751033,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751083,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751133,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751184,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751234,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751284,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751335,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751385,0.5619791666666667,0.8225,1079,987,2999,1118,1920,1200,0,0,0,0,0,0,1
1612448751485,0.5614583333333333,0.8208333333333333,1078,985,2998,1116,1920,1200,0,0,0,0,0,0,1
1612448751536,0.5588541666666667,0.8116666666666666,1073,974,2993,1105,1920,1200,0,0,0,0,0,0,1
1612448751586,0.5552083333333333,0.7958333333333333,1066,955,2986,1086,1920,1200,0,0,0,0,0,0,1
1612448751636,0.55,0.7741666666666667,1056,929,2976,1060,1920,1200,0,0,0,1,0,0,0
1612448751687,0.540625,0.7433333333333333,1038,892,2958,1023,1920,1200,0,0,0,1,0,0,0
1612448751737,0.534375,0.7258333333333333,1026,871,2946,1002,1920,1200,0,0,0,1,0,0,0
1612448751787,0.528125,0.715,1014,858,2934,989,1920,1200,0,0,0,1,0,0,0
1612448751837,0.5135416666666667,0.6933333333333334,986,832,2906,963,1920,1200,0,0,0,0,1,0,0
1612448751888,0.44166666666666665,0.6266666666666667,848,752,2768,883,1920,1200,0,0,0,0,0,1,0
1612448751938,0.39895833333333336,0.5941666666666666,766,713,2686,844,1920,1200,0,0,0,0,0,1,0
1612448751989,0.3619791666666667,0.5625,695,675,2615,806,1920,1200,0,0,0,0,0,1,0
1612448752039,0.34739583333333335,0.5475,667,657,2587,788,1920,1200,0,0,0,0,0,1,0
1612448752089,0.3385416666666667,0.5383333333333333,650,646,2570,777,1920,1200,0,0,0,0,0,1,0
1612448752139,0.33229166666666665,0.5308333333333334,638,637,2558,768,1920,1200,0,0,0,0,0,1,0
1612448752190,0.3265625,0.5241666666666667,627,629,2547,760,1920,1200,0,0,0,0,0,1,0
1612448752240,0.32447916666666665,0.52,623,624,2543,755,1920,1200,0,0,0,0,0,1,0
1612448752290,0.3234375,0.5191666666666667,621,623,2541,754,1920,1200,0,0,0,0,0,1,0
1612448752340,0.3234375,0.5191666666666667,621,623,2541,754,1920,1200,0,0,0,0,0,1,0
1612448752391,0.3234375,0.5191666666666667,621,623,2541,754,1920,1200,0,0,0,0,0,1,0
1612448752491,0.3234375,0.5191666666666667,621,623,2541,754,1920,1200,0,0,0,0,0,1,0
1612448752541,0.3234375,0.5183333333333333,621,622,2541,753,1920,1200,0,0,0,0,1,0,0
1612448752592,0.3234375,0.5183333333333333,621,622,2541,753,1920,1200,0,0,0,0,1,0,0
1612448752642,0.3234375,0.5183333333333333,621,622,2541,753,1920,1200,1,0,0,0,1,0,0
