timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom
1612448758002,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,1,0,0,0,0,0,1
1612448758053,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758105,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758156,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758206,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758256,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758308,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758359,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758410,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758460,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758511,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758562,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448758613,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448759348,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448759399,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448759449,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448759504,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448759555,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448759606,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448759657,0.496875,0.8777777777777778,954,948,954,1050,1920,1080,0,0,0,0,0,0,1
1612448760372,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448760424,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448760474,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448760525,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448760575,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448760627,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448760984,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448761035,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448761085,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448761137,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448761187,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
1612448761238,0.4078125,0.7731481481481481,783,835,783,937,1920,1080,0,0,0,1,0,0,0
