timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448648438,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648493,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648543,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648650,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648705,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648761,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648814,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648869,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648922,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448648973,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448649024,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448649075,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448649128,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448649179,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448649230,0.3527777777777778,0.7477777777777778,508,673,1121,803,1440,900,0,0,0,0,0,0,1
1612448649282,0.34097222222222223,0.7344444444444445,491,661,1104,791,1440,900,0,0,0,0,0,0,1
1612448649333,0.2847222222222222,0.6633333333333333,410,597,1023,727,1440,900,0,0,0,0,1,0,0
1612448649437,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649488,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649539,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649593,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649645,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649695,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649747,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649802,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649856,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649907,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448649961,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650013,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650066,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650116,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650169,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650222,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650275,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650325,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650377,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650482,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650539,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650590,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650642,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650693,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650749,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650799,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650854,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650908,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448650963,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448651014,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448651068,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448651124,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
1612448651175,0.21180555555555555,0.5355555555555556,305,482,918,612,1440,900,0,0,0,0,0,1,0
