timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448645763,0.48806818181818185,0.23232323232323232,859,230,2858,354,1760,990,0,0,0,1,0,0,0,0,0
1612448645813,0.48806818181818185,0.23232323232323232,859,230,2858,354,1760,990,0,0,0,1,0,0,0,0,0
1612448645864,0.48806818181818185,0.23232323232323232,859,230,2858,354,1760,990,0,0,0,1,0,0,0,0,0
1612448645915,0.48806818181818185,0.23232323232323232,859,230,2858,354,1760,990,0,0,0,1,0,0,0,0,0
1612448645966,0.48806818181818185,0.23232323232323232,859,230,2858,354,1760,990,0,0,0,1,0,0,0,0,0
1612448646016,0.2596590909090909,0.5595959595959596,457,554,2420,707,1760,990,0,0,0,0,1,0,0,0,0
1612448646066,0.2596590909090909,0.5505050505050505,457,545,2420,697,1760,990,0,0,0,0,1,0,0,0,0
1612448646119,0.2596590909090909,0.5444444444444444,457,539,2419,691,1760,990,0,0,0,0,1,0,0,0,0
1612448646170,0.2596590909090909,0.5414141414141415,457,536,2419,688,1760,990,0,0,0,0,1,0,0,0,0
1612448646222,0.25795454545454544,0.5343434343434343,454,529,2416,680,1760,990,0,0,0,0,0,1,0,0,0
1612448646273,0.25738636363636364,0.509090909090909,453,504,2415,653,1760,990,0,0,0,0,0,1,0,0,0
1612448646325,0.25170454545454546,0.4696969696969697,443,465,2404,610,1760,990,0,0,0,0,0,1,0,0,0
1612448646375,0.24545454545454545,0.43737373737373736,432,433,2392,575,1760,990,0,0,0,0,0,1,0,0,0
1612448646427,0.24147727272727273,0.42828282828282827,425,424,2385,566,1760,990,0,0,0,0,0,1,0,0,0
1612448646477,0.24147727272727273,0.42828282828282827,425,424,2385,566,1760,990,0,0,0,0,0,1,0,0,0
1612448646528,0.24034090909090908,0.4171717171717172,423,413,2382,554,1760,990,0,0,0,0,0,1,0,0,0
