timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom
1612448637344,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637394,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637450,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637500,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637555,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637607,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637662,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637713,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637766,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637817,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637870,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637925,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448637979,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448638030,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448638083,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448638134,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
1612448638186,0.22013888888888888,0.37333333333333335,317,336,930,466,1440,900,0,0,0,1,0,0,0
