timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448647782,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448647832,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448647882,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448647932,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448647983,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648033,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648084,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648134,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648184,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648235,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648285,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648335,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648385,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648436,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648486,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648536,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648587,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648637,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648688,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648788,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648839,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648889,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648939,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448648989,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649040,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649091,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649141,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649191,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649242,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649292,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649342,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649392,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649443,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649493,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649543,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649594,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649644,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649694,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649795,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649845,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649895,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649946,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448649996,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448650046,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448650097,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448650147,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448650197,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
1612448650247,0.6395833333333333,0.6166666666666667,1228,740,3148,871,1920,1200,0,0,0,1,0,0,0,0
