timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448736230,0.49322916666666666,0.5824074074074074,947,629,947,731,1920,1080,0,0,0,0,1,0,0,0
1612448736282,0.49114583333333334,0.5796296296296296,943,626,943,728,1920,1080,0,0,0,0,1,0,0,0
1612448736334,0.49114583333333334,0.5796296296296296,943,626,943,728,1920,1080,0,0,0,0,1,0,0,0
1612448736643,0.44375,0.5685185185185185,852,614,852,716,1920,1080,0,0,0,0,1,0,0,0
1612448736693,0.43802083333333336,0.5648148148148148,841,610,841,712,1920,1080,0,0,0,0,1,0,0,0
1612448736745,0.4276041666666667,0.5564814814814815,821,601,821,703,1920,1080,0,0,0,0,1,0,0,0
1612448736799,0.4197916666666667,0.5509259259259259,806,595,806,697,1920,1080,0,0,0,0,1,0,0,0
1612448736850,0.41302083333333334,0.5462962962962963,793,590,793,692,1920,1080,0,0,0,0,1,0,0,0
1612448736900,0.4083333333333333,0.5407407407407407,784,584,784,686,1920,1080,0,0,0,0,1,0,0,0
1612448736956,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737008,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737059,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737110,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737161,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737215,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737335,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737645,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737696,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737748,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737801,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737851,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737903,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448737954,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738004,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738056,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738107,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738158,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738209,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738260,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738312,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738617,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738668,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738719,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738770,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738820,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738871,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738923,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448738974,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739025,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739075,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739126,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739177,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739228,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739279,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739331,0.40677083333333336,0.5388888888888889,781,582,781,684,1920,1080,0,0,0,0,1,0,0,0
1612448739639,0.4296875,0.44351851851851853,825,479,825,581,1920,1080,0,0,0,0,0,1,0,0
1612448739690,0.428125,0.4361111111111111,822,471,822,573,1920,1080,0,0,0,0,0,1,0,0
1612448739741,0.4276041666666667,0.4351851851851852,821,470,821,572,1920,1080,0,0,0,0,0,1,0,0
1612448739791,0.4270833333333333,0.43333333333333335,820,468,820,570,1920,1080,0,0,0,0,0,1,0,0
1612448739842,0.42604166666666665,0.42314814814814816,818,457,818,559,1920,1080,0,0,0,0,0,1,0,0
1612448739894,0.42604166666666665,0.41759259259259257,818,451,818,553,1920,1080,0,0,0,0,0,1,0,0
1612448739945,0.42604166666666665,0.4148148148148148,818,448,818,550,1920,1080,0,0,0,0,0,1,0,0
1612448739995,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740047,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740098,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740149,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740200,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740250,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740301,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740353,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740659,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740710,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740761,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740812,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740863,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740915,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448740968,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741185,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,1,0,0,0,0,1,0,0
1612448741236,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741287,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741338,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741390,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741706,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741758,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741808,0.42604166666666665,0.41388888888888886,818,447,818,549,1920,1080,0,0,0,0,0,1,0,0
1612448741860,0.4197916666666667,0.45,806,486,806,588,1920,1080,0,0,0,0,0,1,0,0
1612448741911,0.4083333333333333,0.5481481481481482,784,592,784,694,1920,1080,0,0,0,0,1,0,0,0
1612448741963,0.4036458333333333,0.6101851851851852,775,659,775,761,1920,1080,0,0,0,1,0,0,0,0
1612448742015,0.4114583333333333,0.6555555555555556,790,708,790,810,1920,1080,0,0,0,1,0,0,0,0
1612448742067,0.43072916666666666,0.7018518518518518,827,758,827,860,1920,1080,0,0,0,1,0,0,0,0
1612448742117,0.45,0.7425925925925926,864,802,864,904,1920,1080,0,0,0,1,0,0,0,0
1612448742168,0.4630208333333333,0.7694444444444445,889,831,889,933,1920,1080,0,0,0,1,0,0,0,0
1612448742219,0.46770833333333334,0.7851851851851852,898,848,898,950,1920,1080,0,0,0,1,0,0,0,0
1612448742270,0.46770833333333334,0.787962962962963,898,851,898,953,1920,1080,0,0,0,1,0,0,0,0
