timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448765197,0.4747340425531915,0.4965104685942173,714,498,714,568,1504,1003,0,0,0,0,0,1,0,0
1612448765249,0.47606382978723405,0.4695912263210369,716,471,716,542,1504,1003,0,0,0,0,0,1,0,0
1612448765300,0.4833776595744681,0.452642073778664,727,454,727,524,1504,1003,0,0,0,0,0,1,0,0
1612448765351,0.4853723404255319,0.4287138584247258,730,430,730,501,1504,1003,0,0,0,0,0,1,0,0
1612448765403,0.4853723404255319,0.40079760717846463,730,402,730,472,1504,1003,0,0,0,0,0,1,0,0
1612448765456,0.4853723404255319,0.38085742771684944,730,382,730,452,1504,1003,0,0,0,0,0,1,0,0
1612448765508,0.4820478723404255,0.36390827517447655,725,365,725,436,1504,1003,0,0,0,0,1,0,0,0
1612448765559,0.47273936170212766,0.3389830508474576,711,340,711,410,1504,1003,0,0,0,0,0,0,1,0
1612448765612,0.47273936170212766,0.3300099700897308,711,331,711,402,1504,1003,0,0,0,0,0,0,1,0
1612448765663,0.47273936170212766,0.32901296111665007,711,330,711,401,1504,1003,0,0,0,0,0,0,1,0
1612448765722,0.47273936170212766,0.32901296111665007,711,330,711,401,1504,1003,0,0,0,0,0,0,1,0
1612448765780,0.47273936170212766,0.32901296111665007,711,330,711,401,1504,1003,0,0,0,0,0,0,1,0
1612448765832,0.4753989361702128,0.33300099700897307,715,334,715,404,1504,1003,0,0,0,0,0,0,1,0
1612448765935,0.48404255319148937,0.34097706879361916,728,342,728,412,1504,1003,0,0,0,0,0,0,1,0
1612448765987,0.4973404255319149,0.3419740777666999,748,343,748,414,1504,1003,0,0,0,0,0,0,1,0
1612448766041,0.5093085106382979,0.3419740777666999,766,343,766,414,1504,1003,0,0,0,0,0,0,1,0
1612448766092,0.5139627659574468,0.3389830508474576,773,340,773,411,1504,1003,0,0,0,0,0,0,1,0
1612448766143,0.5172872340425532,0.3369890329012961,778,338,778,408,1504,1003,0,0,0,0,0,0,1,0
1612448766194,0.5206117021276596,0.3349950149551346,783,336,783,407,1504,1003,0,0,0,0,0,0,1,0
1612448766245,0.5226063829787234,0.3349950149551346,786,336,786,407,1504,1003,0,0,0,0,0,0,1,0
1612448766296,0.5246010638297872,0.33599202392821537,789,337,789,408,1504,1003,0,0,0,0,0,0,1,0
1612448766348,0.5299202127659575,0.3389830508474576,797,340,797,411,1504,1003,0,0,0,0,0,0,1,0
1612448766399,0.535904255319149,0.34097706879361916,806,342,806,413,1504,1003,0,0,0,0,0,0,1,0
1612448766450,0.5425531914893617,0.34496510468594216,816,346,816,416,1504,1003,0,0,0,0,0,0,1,0
1612448766502,0.5525265957446809,0.34795613160518446,831,349,831,420,1504,1003,0,0,0,0,0,0,1,0
1612448766560,0.5525265957446809,0.34795613160518446,831,349,831,420,1504,1003,0,0,0,0,0,0,1,0
1612448766622,0.5525265957446809,0.34795613160518446,831,349,831,420,1504,1003,0,0,0,0,0,0,1,0
1612448766673,0.5525265957446809,0.34795613160518446,831,349,831,420,1504,1003,0,0,0,0,0,0,1,0
1612448766724,0.5345744680851063,0.3509471585244267,804,352,804,422,1504,1003,0,0,0,0,1,0,0,0
1612448766775,0.5172872340425532,0.3509471585244267,778,352,778,422,1504,1003,0,0,0,0,1,0,0,0
1612448766826,0.5053191489361702,0.353938185443669,760,355,760,426,1504,1003,0,0,0,0,1,0,0,0
1612448766879,0.4973404255319149,0.357926221335992,748,359,748,430,1504,1003,0,0,0,0,1,0,0,0
1612448766930,0.4867021276595745,0.36191425722831505,732,363,732,434,1504,1003,0,0,0,0,1,0,0,0
1612448766982,0.4787234042553192,0.36490528414755735,720,366,720,437,1504,1003,0,0,0,0,0,1,0,0
1612448767033,0.47273936170212766,0.3678963110667996,711,369,711,440,1504,1003,0,0,0,0,0,1,0,0
1612448767085,0.46875,0.3708873379860419,705,372,705,442,1504,1003,0,0,0,0,0,1,0,0
1612448767135,0.4660904255319149,0.3728813559322034,701,374,701,444,1504,1003,0,0,0,0,0,1,0,0
1612448767186,0.4640957446808511,0.37387836490528414,698,375,698,446,1504,1003,0,0,0,0,0,1,0,0
1612448767241,0.4627659574468085,0.3748753738783649,696,376,696,446,1504,1003,0,0,0,0,0,1,0,0
1612448767296,0.4627659574468085,0.3748753738783649,696,376,696,446,1504,1003,0,0,0,0,0,1,0,0
1612448767347,0.46143617021276595,0.3748753738783649,694,376,694,446,1504,1003,0,0,0,0,0,1,0,0
1612448767398,0.45944148936170215,0.37587238285144564,691,377,691,448,1504,1003,0,0,0,0,0,1,0,0
1612448767450,0.4574468085106383,0.3778664007976072,688,379,688,450,1504,1003,0,0,0,0,0,1,0,0
1612448767502,0.4554521276595745,0.3798604187437687,685,381,685,452,1504,1003,0,0,0,0,0,1,0,0
1612448767557,0.45345744680851063,0.38085742771684944,682,382,682,453,1504,1003,0,0,0,0,0,1,0,0
1612448767609,0.44680851063829785,0.382851445663011,672,384,672,454,1504,1003,0,0,0,0,0,1,0,0
1612448767660,0.4401595744680851,0.382851445663011,662,384,662,454,1504,1003,0,0,0,0,0,1,0,0
1612448767712,0.4401595744680851,0.382851445663011,662,384,662,454,1504,1003,0,0,0,0,0,1,0,0
1612448767773,0.4401595744680851,0.382851445663011,662,384,662,454,1504,1003,0,0,0,0,0,1,0,0
1612448767831,0.4401595744680851,0.382851445663011,662,384,662,454,1504,1003,0,0,0,0,0,1,0,0
1612448767933,0.43550531914893614,0.39581256231306083,655,397,655,468,1504,1003,0,0,0,0,0,1,0,0
1612448767984,0.4328457446808511,0.3988035892323031,651,400,651,471,1504,1003,0,0,0,0,0,1,0,0
1612448768036,0.43018617021276595,0.4047856430707876,647,406,647,477,1504,1003,0,0,0,0,0,1,0,0
1612448768087,0.43018617021276595,0.4077766699900299,647,409,647,480,1504,1003,0,0,0,0,0,1,0,0
1612448768140,0.43018617021276595,0.4097706879361914,647,411,647,482,1504,1003,0,0,0,0,0,1,0,0
1612448768191,0.43018617021276595,0.4107676969092722,647,412,647,482,1504,1003,0,0,0,0,0,1,0,0
1612448768242,0.43018617021276595,0.4127617148554337,647,414,647,484,1504,1003,0,0,0,0,0,1,0,0
1612448768293,0.4308510638297872,0.41774675972083747,648,419,648,490,1504,1003,0,0,0,0,0,1,0,0
1612448768344,0.4308510638297872,0.419740777666999,648,421,648,492,1504,1003,0,0,0,0,0,1,0,0
1612448768396,0.43018617021276595,0.42572283150548357,647,427,647,498,1504,1003,0,0,0,0,0,1,0,0
1612448768448,0.4295212765957447,0.43768693918245266,646,439,646,510,1504,1003,0,0,0,0,0,1,0,0
1612448768500,0.4321808510638298,0.44965104685942175,650,451,650,522,1504,1003,0,0,0,0,0,1,0,0
1612448768552,0.43351063829787234,0.45663010967098705,652,458,652,528,1504,1003,0,0,0,0,0,1,0,0
1612448768603,0.4321808510638298,0.4646061814556331,650,466,650,536,1504,1003,0,0,0,0,0,1,0,0
1612448768653,0.43018617021276595,0.4715852442671984,647,473,647,544,1504,1003,0,0,0,0,0,1,0,0
1612448768705,0.43018617021276595,0.4745762711864407,647,476,647,546,1504,1003,0,0,0,0,0,1,0,0
1612448768756,0.4295212765957447,0.4915254237288136,646,493,646,564,1504,1003,0,0,0,0,0,1,0,0
1612448768807,0.42819148936170215,0.5024925224327019,644,504,644,574,1504,1003,0,0,0,0,0,1,0,0
1612448768859,0.42819148936170215,0.5064805583250249,644,508,644,578,1504,1003,0,0,0,0,0,1,0,0
1612448768961,0.4275265957446808,0.5124626121635095,643,514,643,584,1504,1003,0,0,0,0,0,1,0,0
1612448769013,0.42686170212765956,0.5134596211365903,642,515,642,586,1504,1003,0,0,0,0,0,1,0,0
1612448769064,0.42486702127659576,0.514456630109671,639,516,639,586,1504,1003,0,0,0,0,0,1,0,0
1612448769115,0.42220744680851063,0.5134596211365903,635,515,635,586,1504,1003,0,0,0,0,0,1,0,0
