timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448665630,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665680,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665732,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665784,0.22847222222222222,0.6044444444444445,329,544,942,674,1440,900,0,0,0,0,0,1,0,0,0
1612448665837,0.2548611111111111,0.6177777777777778,367,556,980,686,1440,900,0,0,0,0,1,0,0,0,0
1612448665889,0.2881944444444444,0.6333333333333333,415,570,1028,700,1440,900,0,0,0,0,1,0,0,0,0
1612448665940,0.30625,0.6466666666666666,441,582,1054,712,1440,900,0,0,0,0,1,0,0,0,0
1612448665990,0.3215277777777778,0.6555555555555556,463,590,1076,720,1440,900,0,0,0,0,1,0,0,0,0
1612448666041,0.3298611111111111,0.6611111111111111,475,595,1088,725,1440,900,0,0,0,0,1,0,0,0,0
1612448666091,0.33125,0.6822222222222222,477,614,1090,744,1440,900,0,0,0,1,0,0,0,0,0
1612448666142,0.32430555555555557,0.7111111111111111,467,640,1080,770,1440,900,0,0,0,1,0,0,0,0,0
1612448666195,0.32430555555555557,0.7266666666666667,467,654,1080,784,1440,900,0,0,0,0,0,0,0,0,1
1612448666246,0.3284722222222222,0.7355555555555555,473,662,1086,792,1440,900,0,0,0,0,0,0,0,0,1
1612448666298,0.32916666666666666,0.74,474,666,1087,796,1440,900,0,0,0,0,0,0,0,0,1
1612448666353,0.32916666666666666,0.7411111111111112,474,667,1087,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666405,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666456,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666507,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,1,0,0,0,0,0,0,0,1
1612448666618,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666672,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666723,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666840,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666895,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666945,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448666996,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667048,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667103,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667154,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667207,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667257,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667309,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667362,0.3277777777777778,0.7411111111111112,472,667,1085,797,1440,900,0,0,0,0,0,0,0,0,1
1612448667414,0.325,0.7333333333333333,468,660,1081,790,1440,900,0,0,0,0,0,0,0,0,1
1612448667467,0.26180555555555557,0.6566666666666666,377,591,990,721,1440,900,0,0,0,0,0,0,1,0,0
1612448667518,0.15763888888888888,0.5733333333333334,227,516,840,646,1440,900,0,0,0,0,0,0,1,0,0
1612448667624,0.1,0.54,144,486,757,616,1440,900,0,0,0,0,0,0,1,0,0
1612448667677,0.1,0.54,144,486,757,616,1440,900,0,0,0,0,0,0,1,0,0
1612448667728,0.1,0.54,144,486,757,616,1440,900,0,0,0,0,0,0,1,0,0
1612448667778,0.1,0.54,144,486,757,616,1440,900,0,0,0,0,0,0,1,0,0
1612448667830,0.1,0.55,144,495,757,625,1440,900,0,0,0,0,0,0,1,0,0
1612448667883,0.10277777777777777,0.5888888888888889,148,530,761,660,1440,900,0,0,0,0,0,0,1,0,0
1612448667933,0.11805555555555555,0.6122222222222222,170,551,783,681,1440,900,0,0,0,0,0,0,1,0,0
1612448667986,0.15,0.6177777777777778,216,556,829,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668041,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668097,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668150,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668205,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668256,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668307,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668360,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668410,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668465,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668521,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668574,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668680,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668735,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668789,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668839,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668893,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448668946,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448669000,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448669055,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448669110,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448669165,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448669218,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448669269,0.1597222222222222,0.6177777777777778,230,556,843,686,1440,900,0,0,0,0,0,0,1,0,0
1612448669322,0.14791666666666667,0.5944444444444444,213,535,826,665,1440,900,0,0,0,0,0,0,1,0,0
1612448669373,0.13333333333333333,0.57,192,513,805,643,1440,900,0,0,0,0,0,0,1,0,0
1612448669423,0.12291666666666666,0.55,177,495,790,625,1440,900,0,0,0,0,0,0,1,0,0
1612448669474,0.11527777777777778,0.5344444444444445,166,481,779,611,1440,900,0,0,0,0,0,0,1,0,0
1612448669524,0.1111111111111111,0.5266666666666666,160,474,773,604,1440,900,0,0,0,0,0,0,1,0,0
1612448669683,0.1111111111111111,0.5255555555555556,160,473,773,603,1440,900,0,0,0,0,0,0,1,0,0
1612448669733,0.1111111111111111,0.5255555555555556,160,473,773,603,1440,900,0,0,0,0,0,0,1,0,0
1612448669786,0.1111111111111111,0.5311111111111111,160,478,773,608,1440,900,0,0,0,0,0,0,1,0,0
1612448669838,0.1111111111111111,0.5366666666666666,160,483,773,613,1440,900,0,0,0,0,0,0,1,0,0
1612448669893,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448669945,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448670001,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,1,0,0,0,0,0,1,0,0
1612448670057,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448670109,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448670164,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448670220,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448670271,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448670324,0.1111111111111111,0.5388888888888889,160,485,773,615,1440,900,0,0,0,0,0,0,1,0,0
1612448670375,0.1111111111111111,0.5544444444444444,160,499,773,629,1440,900,0,0,0,0,0,0,1,0,0
1612448670426,0.11597222222222223,0.5833333333333334,167,525,780,655,1440,900,0,0,0,0,0,0,1,0,0
1612448670477,0.12152777777777778,0.6155555555555555,175,554,788,684,1440,900,0,0,0,0,0,0,1,0,0
1612448670528,0.12430555555555556,0.6333333333333333,179,570,792,700,1440,900,0,0,0,0,0,0,1,0,0
1612448670579,0.12569444444444444,0.6433333333333333,181,579,794,709,1440,900,0,0,0,0,0,0,1,0,0
1612448670685,0.12569444444444444,0.6466666666666666,181,582,794,712,1440,900,0,0,0,0,0,0,1,0,0
1612448670740,0.12569444444444444,0.6466666666666666,181,582,794,712,1440,900,0,0,0,0,0,0,1,0,0
1612448670790,0.12569444444444444,0.6466666666666666,181,582,794,712,1440,900,0,0,0,0,0,0,1,0,0
1612448670840,0.12569444444444444,0.6522222222222223,181,587,794,717,1440,900,0,0,0,0,0,0,1,0,0
1612448670892,0.12430555555555556,0.6577777777777778,179,592,792,722,1440,900,0,0,0,0,0,0,1,0,0
1612448670942,0.12361111111111112,0.6611111111111111,178,595,791,725,1440,900,0,0,0,0,0,0,1,0,0
1612448670993,0.12291666666666666,0.6644444444444444,177,598,790,728,1440,900,0,0,0,0,0,0,1,0,0
1612448671045,0.12222222222222222,0.6644444444444444,176,598,789,728,1440,900,0,0,0,0,0,0,1,0,0
1612448671099,0.12222222222222222,0.6644444444444444,176,598,789,728,1440,900,0,0,0,0,0,0,1,0,0
1612448671159,0.12222222222222222,0.6644444444444444,176,598,789,728,1440,900,1,0,0,0,0,0,1,0,0
1612448671214,0.12222222222222222,0.6644444444444444,176,598,789,728,1440,900,0,0,0,0,0,0,1,0,0
1612448671265,0.12222222222222222,0.6644444444444444,176,598,789,728,1440,900,0,0,0,0,0,0,1,0,0
1612448671318,0.12222222222222222,0.6644444444444444,176,598,789,728,1440,900,0,0,0,0,0,0,1,0,0
1612448671372,0.12222222222222222,0.6644444444444444,176,598,789,728,1440,900,0,0,0,0,0,0,1,0,0
1612448671423,0.12222222222222222,0.6588888888888889,176,593,789,723,1440,900,0,0,0,0,0,0,1,0,0
1612448671473,0.12430555555555556,0.65,179,585,792,715,1440,900,0,0,0,0,0,0,1,0,0
1612448671524,0.125,0.6266666666666667,180,564,793,694,1440,900,0,0,0,0,0,0,1,0,0
1612448671574,0.12430555555555556,0.5788888888888889,179,521,792,651,1440,900,0,0,0,0,0,0,1,0,0
1612448671676,0.125,0.53,180,477,793,607,1440,900,0,0,0,0,0,0,1,0,0
1612448671728,0.12638888888888888,0.5255555555555556,182,473,795,603,1440,900,0,0,0,0,0,0,1,0,0
1612448671779,0.12708333333333333,0.5233333333333333,183,471,796,601,1440,900,0,0,0,0,0,0,1,0,0
1612448671830,0.12777777777777777,0.5166666666666667,184,465,797,595,1440,900,0,0,0,0,0,0,1,0,0
1612448671882,0.1284722222222222,0.49777777777777776,185,448,798,578,1440,900,0,0,0,0,0,0,1,0,0
1612448671935,0.12916666666666668,0.49,186,441,799,571,1440,900,0,0,0,0,0,0,1,0,0
1612448671989,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,0,0,0,0,0,0,1,0,0
1612448672044,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,0,0,0,0,0,0,1,0,0
1612448672095,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,0,0,0,0,0,0,1,0,0
1612448672149,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,1,0,0,0,0,0,1,0,0
1612448672200,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,0,0,0,0,0,0,1,0,0
1612448672252,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,0,0,0,0,0,0,1,0,0
1612448672305,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,0,0,0,0,0,0,1,0,0
1612448672361,0.12916666666666668,0.4888888888888889,186,440,799,570,1440,900,0,0,0,0,0,0,1,0,0
1612448672412,0.13333333333333333,0.5022222222222222,192,452,805,582,1440,900,0,0,0,0,0,0,1,0,0
1612448672464,0.16666666666666666,0.6,240,540,853,670,1440,900,0,0,0,0,0,0,1,0,0
1612448672516,0.20416666666666666,0.7355555555555555,294,662,907,792,1440,900,0,0,0,0,0,0,0,0,1
1612448672571,0.20972222222222223,0.7688888888888888,302,692,915,822,1440,900,0,0,0,0,0,0,0,0,1
1612448672623,0.20972222222222223,0.7688888888888888,302,692,915,822,1440,900,0,0,0,0,0,0,0,0,1
1612448672730,0.20972222222222223,0.7688888888888888,302,692,915,822,1440,900,0,0,0,0,0,0,0,0,1
1612448672781,0.20902777777777778,0.7666666666666667,301,690,914,820,1440,900,0,0,0,0,0,0,0,0,1
1612448672833,0.20347222222222222,0.7522222222222222,293,677,906,807,1440,900,0,0,0,0,0,0,0,0,1
1612448672888,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,0,0,0,0,0,0,0,0,1
1612448672939,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,0,0,0,0,0,0,0,0,1
1612448672992,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,0,0,0,0,0,0,0,0,1
1612448673048,0.20069444444444445,0.7477777777777778,289,673,902,803,1440,900,0,0,0,0,0,0,0,0,1
1612448677796,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,0,1
1612448677847,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,0,1
1612448677901,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,0,1
1612448678010,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,0,1
1612448678065,0.3548611111111111,0.7611111111111111,511,685,1124,815,1440,900,0,0,0,0,0,0,0,0,1
