timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:option,data.currentMouseElement_element:navbar-bottom
1612448778852,0.5302083333333333,0.8814814814814815,1018,952,1018,1054,1920,1080,0,0,0,0,0,0,1
1612448778902,0.5302083333333333,0.8814814814814815,1018,952,1018,1054,1920,1080,0,0,0,0,0,0,1
1612448778852,0.5302083333333333,0.8814814814814815,1018,952,1018,1054,1920,1080,0,0,0,0,0,0,1
1612448778902,0.5302083333333333,0.8814814814814815,1018,952,1018,1054,1920,1080,0,0,0,0,0,0,1
1612448778954,0.5302083333333333,0.8814814814814815,1018,952,1018,1054,1920,1080,0,0,0,0,0,0,1
1612448779004,0.5302083333333333,0.8814814814814815,1018,952,1018,1054,1920,1080,0,0,0,0,0,0,1
1612448779056,0.5302083333333333,0.8814814814814815,1018,952,1018,1054,1920,1080,0,0,0,0,0,0,1
1612448779108,0.5109375,0.8361111111111111,981,903,981,1005,1920,1080,0,0,0,1,0,0,0
1612448779159,0.496875,0.7916666666666666,954,855,954,957,1920,1080,0,0,0,1,0,0,0
1612448779213,0.4791666666666667,0.7138888888888889,920,771,920,873,1920,1080,0,0,0,1,0,0,0
1612448779265,0.47552083333333334,0.6916666666666667,913,747,913,849,1920,1080,0,0,0,1,0,0,0
1612448779322,0.4666666666666667,0.6481481481481481,896,700,896,802,1920,1080,0,0,0,1,0,0,0
1612448779372,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448779423,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448779477,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448779528,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448779578,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448779634,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448780342,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448780397,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781312,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781363,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781415,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781465,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781516,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781567,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781617,0.46458333333333335,0.6416666666666667,892,693,892,795,1920,1080,0,0,0,1,0,0,0
1612448781668,0.44947916666666665,0.6222222222222222,863,672,863,774,1920,1080,0,0,0,0,0,1,0
