timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:option,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448752435,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752485,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752535,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752587,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752711,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752761,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752812,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752863,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752915,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448752966,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448753017,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448753118,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448753169,0.5239583333333333,0.8351851851851851,1006,902,2926,1004,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448753221,0.5234375,0.8305555555555556,1005,897,2925,999,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448753272,0.5145833333333333,0.7888888888888889,988,852,2908,954,1920,1080,0,0,0,1,0,0,0,0,0,0
1612448753324,0.5114583333333333,0.687962962962963,982,743,2902,845,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448753376,0.5286458333333334,0.6222222222222222,1015,672,2935,774,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753428,0.5609375,0.6111111111111112,1077,660,2997,762,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753478,0.58125,0.6203703703703703,1116,670,3036,772,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753530,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753581,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753633,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753684,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753735,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753785,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753837,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,1,0,0,0,0,0,1,0,0,0
1612448753887,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753938,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448753988,0.5880208333333333,0.6231481481481481,1129,673,3049,775,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448754089,0.5885416666666666,0.6277777777777778,1130,678,3050,780,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448754139,0.5932291666666667,0.65,1139,702,3059,804,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448754189,0.5942708333333333,0.6583333333333333,1141,711,3061,813,1920,1080,0,0,0,0,0,0,1,0,0,0
1612448754240,0.5963541666666666,0.6685185185185185,1145,722,3065,824,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754290,0.5994791666666667,0.6796296296296296,1151,734,3071,836,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754341,0.6020833333333333,0.6861111111111111,1156,741,3076,843,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754392,0.6026041666666667,0.687962962962963,1157,743,3077,845,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754444,0.6026041666666667,0.6888888888888889,1157,744,3077,846,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754496,0.603125,0.6888888888888889,1158,744,3078,846,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754547,0.603125,0.6888888888888889,1158,744,3078,846,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754598,0.603125,0.6888888888888889,1158,744,3078,846,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754650,0.603125,0.6898148148148148,1158,745,3078,847,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754700,0.5958333333333333,0.7046296296296296,1144,761,3064,863,1920,1080,0,0,0,0,1,0,0,0,0,0
1612448754752,0.5666666666666667,0.7537037037037037,1088,814,3008,916,1920,1080,0,0,0,1,0,0,0,0,0,0
1612448754803,0.5536458333333333,0.7685185185185185,1063,830,2983,932,1920,1080,0,0,0,1,0,0,0,0,0,0
1612448754855,0.546875,0.7805555555555556,1050,843,2970,945,1920,1080,0,0,0,1,0,0,0,0,0,0
1612448754907,0.5432291666666667,0.7861111111111111,1043,849,2963,951,1920,1080,0,0,0,1,0,0,0,0,0,0
1612448754957,0.5395833333333333,0.7935185185185185,1036,857,2956,959,1920,1080,0,0,0,1,0,0,0,0,0,0
1612448755009,0.5348958333333333,0.8009259259259259,1027,865,2947,967,1920,1080,0,0,0,1,0,0,0,0,0,0
1612448755110,0.5234375,0.8203703703703704,1005,886,2925,988,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755161,0.5203125,0.825,999,891,2919,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755210,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755262,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755314,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755365,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755416,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755468,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755520,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755570,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755622,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755673,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755723,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755774,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755826,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755877,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755928,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448755980,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448756031,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448756134,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448756184,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448756235,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448756286,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448756337,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
1612448756388,0.5197916666666667,0.825,998,891,2918,993,1920,1080,0,0,0,0,0,0,0,0,1,0
