timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448772778,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448772888,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448772938,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448773006,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448773064,0.5691489361702128,0.8035892323030908,856,806,856,877,1504,1003,0,0,0,0,0,0,0,1
1612448773116,0.5658244680851063,0.7776669990029911,851,780,851,850,1504,1003,0,0,0,0,0,0,0,1
1612448773168,0.5651595744680851,0.7517447657028913,850,754,850,825,1504,1003,0,0,0,1,0,0,0,0
1612448773219,0.5631648936170213,0.7068793619142573,847,709,847,780,1504,1003,0,0,0,1,0,0,0,0
1612448773276,0.535904255319149,0.6301096709870389,806,632,806,702,1504,1003,0,0,0,1,0,0,0,0
1612448773327,0.5212765957446809,0.5922233300099701,784,594,784,664,1504,1003,0,0,0,1,0,0,0,0
1612448773378,0.4933510638297872,0.5383848454636092,742,540,742,611,1504,1003,0,0,0,1,0,0,0,0
1612448773430,0.4753989361702128,0.5014955134596212,715,503,715,574,1504,1003,0,0,0,0,1,0,0,0
1612448773482,0.47007978723404253,0.47258225324027914,707,474,707,544,1504,1003,0,0,0,0,1,0,0,0
1612448773533,0.4640957446808511,0.4436689930209372,698,445,698,516,1504,1003,0,0,0,0,0,1,0,0
1612448773585,0.46742021276595747,0.4386839481555334,703,440,703,511,1504,1003,0,0,0,0,0,1,0,0
1612448773637,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448773706,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448773765,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448773827,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448773878,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448773930,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774043,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774106,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774167,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774228,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774291,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774354,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774415,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774478,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774542,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774603,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774664,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774726,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774789,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774851,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774914,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448774977,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448775041,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448775100,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448775161,0.47074468085106386,0.43768693918245266,708,439,708,510,1504,1003,0,0,0,0,0,1,0,0
1612448775212,0.47074468085106386,0.4356929212362911,708,437,708,508,1504,1003,0,0,0,0,0,1,0,0
1612448775265,0.46808510638297873,0.4287138584247258,704,430,704,501,1504,1003,0,0,0,0,0,1,0,0
1612448775316,0.4601063829787234,0.4247258225324028,692,426,692,496,1504,1003,0,0,0,0,0,1,0,0
1612448775367,0.45944148936170215,0.4247258225324028,691,426,691,496,1504,1003,0,0,0,0,0,1,0,0
1612448775418,0.4601063829787234,0.42771684945164506,692,429,692,500,1504,1003,0,0,0,0,0,1,0,0
1612448775469,0.4714095744680851,0.43768693918245266,709,439,709,510,1504,1003,0,0,0,0,0,1,0,0
1612448775520,0.4973404255319149,0.4476570289132602,748,449,748,520,1504,1003,0,0,0,0,0,1,0,0
1612448775575,0.5139627659574468,0.44865403788634095,773,450,773,520,1504,1003,0,0,0,0,0,1,0,0
1612448775627,0.5146276595744681,0.44666001994017945,774,448,774,519,1504,1003,0,0,0,0,0,1,0,0
1612448775680,0.5066489361702128,0.43668993020937186,762,438,762,509,1504,1003,0,0,0,0,0,1,0,0
1612448775732,0.49867021276595747,0.43270189431704886,750,434,750,504,1504,1003,0,0,0,0,0,1,0,0
1612448775783,0.49069148936170215,0.43270189431704886,738,434,738,504,1504,1003,0,0,0,0,0,1,0,0
1612448775835,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448775886,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448775942,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448776051,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448776116,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448776168,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448776220,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,1,0,0,0,0,1,0,0
1612448776271,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448776323,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
1612448776381,0.488031914893617,0.43270189431704886,734,434,734,504,1504,1003,0,0,0,0,0,1,0,0
