timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448683796,0.32265625,0.5430555555555555,826,782,3160,1277,2560,1440,0,0,0,1,0,0,0,0,0
1612448683915,0.38046875,0.3590277777777778,974,517,3382,880,2560,1440,0,0,0,0,1,0,0,0,0
1612448683966,0.383203125,0.3506944444444444,981,505,3392,862,2560,1440,0,0,0,0,1,0,0,0,0
1612448684016,0.38828125,0.3277777777777778,994,472,3412,812,2560,1440,0,0,0,0,1,0,0,0,0
1612448684067,0.38828125,0.3277777777777778,994,472,3412,812,2560,1440,0,0,0,0,1,0,0,0,0
1612448684118,0.38828125,0.32916666666666666,994,474,3411,816,2560,1440,0,0,0,0,1,0,0,0,0
1612448684169,0.38828125,0.32916666666666666,994,474,3411,816,2560,1440,0,0,0,0,1,0,0,0,0
1612448684219,0.387890625,0.33055555555555555,993,476,3410,819,2560,1440,0,0,0,0,1,0,0,0,0
1612448684270,0.3875,0.33611111111111114,992,484,3409,830,2560,1440,0,0,0,0,1,0,0,0,0
1612448684321,0.3875,0.3375,992,486,3409,834,2560,1440,0,0,0,0,1,0,0,0,0
1612448684371,0.3875,0.33819444444444446,992,487,3409,835,2560,1440,0,0,0,0,1,0,0,0,0
1612448684422,0.375,0.32569444444444445,960,469,3360,808,2560,1440,0,0,0,0,1,0,0,0,0
1612448684473,0.349609375,0.30416666666666664,895,438,3263,762,2560,1440,0,0,0,0,0,1,0,0,0
1612448684523,0.3328125,0.28541666666666665,852,411,3198,721,2560,1440,0,0,0,0,1,0,0,0,0
1612448684574,0.3296875,0.2777777777777778,844,400,3186,705,2560,1440,0,0,0,0,0,0,1,0,0
1612448684625,0.3234375,0.2722222222222222,828,392,3163,693,2560,1440,0,0,0,0,0,0,1,0,0
1612448684676,0.309765625,0.26944444444444443,793,388,3110,687,2560,1440,0,0,0,0,0,0,1,0,0
1612448684727,0.3046875,0.27361111111111114,780,394,3090,695,2560,1440,0,0,0,0,0,0,1,0,0
1612448684777,0.3015625,0.275,772,396,3078,698,2560,1440,0,0,0,0,0,0,1,0,0
1612448684828,0.2890625,0.27291666666666664,740,393,3030,694,2560,1440,0,0,0,0,0,0,1,0,0
1612448684879,0.28046875,0.2708333333333333,718,390,2997,690,2560,1440,0,0,0,0,0,0,1,0,0
1612448684929,0.28125,0.2701388888888889,720,389,3000,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448684980,0.28125,0.2701388888888889,720,389,3001,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685031,0.28671875,0.2701388888888889,734,389,3022,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685083,0.303125,0.26944444444444443,776,388,3085,687,2560,1440,0,0,0,0,0,0,1,0,0
1612448685133,0.309375,0.26944444444444443,792,388,3108,687,2560,1440,0,0,0,0,0,0,1,0,0
1612448685184,0.313671875,0.26944444444444443,803,388,3125,687,2560,1440,0,0,0,0,0,0,1,0,0
1612448685234,0.32734375,0.26944444444444443,838,388,3178,687,2560,1440,0,0,0,0,0,0,1,0,0
1612448685285,0.3390625,0.2701388888888889,868,389,3222,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685336,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685387,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685437,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685488,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685539,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685590,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685641,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685692,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685742,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685793,0.340625,0.2701388888888889,872,389,3229,688,2560,1440,0,0,0,0,0,0,1,0,0
1612448685844,0.340625,0.2708333333333333,872,390,3229,690,2560,1440,0,0,0,0,0,0,1,0,0
1612448685945,0.31328125,0.34375,802,495,3124,847,2560,1440,0,0,0,0,1,0,0,0,0
1612448685999,0.3140625,0.34375,804,495,3126,847,2560,1440,0,0,0,0,1,0,0,0,0
1612448686050,0.3140625,0.34375,804,495,3126,847,2560,1440,0,0,0,0,1,0,0,0,0
1612448686101,0.314453125,0.3416666666666667,805,492,3128,843,2560,1440,0,0,0,0,1,0,0,0,0
1612448686151,0.31484375,0.3402777777777778,806,490,3130,840,2560,1440,0,0,0,0,1,0,0,0,0
1612448686202,0.315234375,0.3402777777777778,807,490,3131,840,2560,1440,0,0,0,0,1,0,0,0,0
1612448686253,0.315625,0.33958333333333335,808,489,3132,838,2560,1440,0,0,0,0,1,0,0,0,0
1612448686304,0.315625,0.33958333333333335,808,489,3132,838,2560,1440,0,0,0,0,1,0,0,0,0
1612448686354,0.315625,0.3388888888888889,808,488,3133,836,2560,1440,0,0,0,0,1,0,0,0,0
1612448686405,0.31640625,0.33611111111111114,810,484,3136,831,2560,1440,0,0,0,0,1,0,0,0,0
1612448686456,0.3171875,0.3347222222222222,812,482,3138,827,2560,1440,0,0,0,0,1,0,0,0,0
1612448686507,0.3171875,0.3326388888888889,812,479,3138,823,2560,1440,0,0,0,0,1,0,0,0,0
1612448686557,0.316015625,0.3263888888888889,809,470,3134,809,2560,1440,0,0,0,0,1,0,0,0,0
1612448686608,0.315625,0.3215277777777778,808,463,3133,799,2560,1440,0,0,0,0,1,0,0,0,0
1612448686659,0.3171875,0.31319444444444444,812,451,3138,781,2560,1440,0,0,0,0,0,1,0,0,0
1612448686710,0.326171875,0.30277777777777776,835,436,3173,758,2560,1440,0,0,0,0,0,1,0,0,0
1612448686760,0.335546875,0.2986111111111111,859,430,3209,750,2560,1440,0,0,0,0,0,1,0,0,0
1612448686811,0.337109375,0.2986111111111111,863,430,3215,749,2560,1440,0,0,0,0,0,1,0,0,0
1612448686862,0.337109375,0.2986111111111111,863,430,3215,749,2560,1440,0,0,0,0,0,1,0,0,0
1612448686964,0.337109375,0.2986111111111111,863,430,3215,749,2560,1440,0,0,0,0,0,1,0,0,0
1612448687014,0.337109375,0.2986111111111111,863,430,3215,749,2560,1440,0,0,0,0,0,1,0,0,0
1612448687071,0.337109375,0.2986111111111111,863,430,3215,749,2560,1440,0,0,0,0,0,1,0,0,0
1612448687121,0.337109375,0.2986111111111111,863,430,3215,749,2560,1440,0,0,0,0,0,1,0,0,0
1612448687172,0.33671875,0.2986111111111111,862,430,3214,750,2560,1440,0,0,0,0,0,1,0,0,0
1612448687222,0.33671875,0.29930555555555555,862,431,3213,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687273,0.33671875,0.29930555555555555,862,431,3213,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687323,0.33671875,0.29930555555555555,862,431,3213,751,2560,1440,1,0,0,0,0,1,0,0,0
1612448687374,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687425,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687476,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687527,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687578,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687629,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687679,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687730,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687781,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
1612448687832,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,1,0,0,1,0,0,0
1612448687882,0.3359375,0.29930555555555555,860,431,3211,751,2560,1440,0,0,0,0,0,1,0,0,0
