timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448678408,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678460,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678510,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678561,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678612,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678663,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678712,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678763,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678813,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678863,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678915,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448678965,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448679016,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448679067,0.23828125,0.2881944444444444,122,83,2379,414,512,288,0,0,0,0,0,0,0,0,1
1612448679118,0.5020833333333333,0.412962962962963,964,446,2884,548,1920,1080,0,0,0,0,0,0,1,0,0
1612448679170,0.5036458333333333,0.41574074074074074,967,449,2887,551,1920,1080,0,0,0,0,1,0,0,0,0
1612448679220,0.5041666666666667,0.41574074074074074,968,449,2888,551,1920,1080,0,0,0,0,1,0,0,0,0
1612448679271,0.5067708333333333,0.42407407407407405,973,458,2893,560,1920,1080,0,0,0,0,1,0,0,0,0
1612448679374,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679424,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679476,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679526,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679578,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679630,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679681,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679731,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679783,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679834,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679884,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679935,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448679986,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448680037,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448680089,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
1612448680140,0.5104166666666666,0.43796296296296294,980,473,2900,575,1920,1080,0,0,0,0,0,1,0,0,0
