timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:navbar-bottom
1612448642301,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642351,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642407,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642462,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642513,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642565,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642616,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642671,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642724,0.35208333333333336,0.7622222222222222,507,686,1120,816,1440,900,0,0,0,0,0,0,1
1612448642775,0.34444444444444444,0.7266666666666667,496,654,1109,784,1440,900,0,0,0,0,0,0,1
1612448642826,0.33125,0.64,477,576,1090,706,1440,900,0,0,0,1,0,0,0
1612448642876,0.3277777777777778,0.5555555555555556,472,500,1085,630,1440,900,0,0,0,1,0,0,0
1612448642929,0.3277777777777778,0.48333333333333334,472,435,1085,565,1440,900,0,0,0,0,1,0,0
1612448642981,0.3173611111111111,0.4311111111111111,457,388,1070,518,1440,900,0,0,0,0,1,0,0
1612448643032,0.3076388888888889,0.42444444444444446,443,382,1056,512,1440,900,0,0,0,0,0,1,0
1612448643083,0.2951388888888889,0.43666666666666665,425,393,1038,523,1440,900,0,0,0,0,1,0,0
1612448643134,0.2881944444444444,0.45,415,405,1028,535,1440,900,0,0,0,0,1,0,0
1612448643186,0.28541666666666665,0.45222222222222225,411,407,1024,537,1440,900,0,0,0,0,1,0,0
