timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:navbar-bottom
1612448705239,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,1,0,0,0,0,0,1
1612448705307,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705357,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705407,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705457,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705508,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705558,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705608,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705658,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705709,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705759,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705809,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705860,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705910,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448705960,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706011,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706061,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706111,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706162,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706212,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706262,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706313,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
1612448706363,0.5520833333333334,0.8241666666666667,1060,989,2980,1120,1920,1200,0,0,0,0,0,0,1
