timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448743929,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448743980,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744031,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744278,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744330,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744380,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744687,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744738,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744789,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744840,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744891,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744943,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448744994,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745045,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745096,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745147,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745198,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745249,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745300,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745350,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745401,0.4817708333333333,0.8675925925925926,925,937,925,1039,1920,1080,0,0,0,0,0,0,0,1
1612448745708,0.4901041666666667,0.5685185185185185,941,614,941,716,1920,1080,0,0,0,1,0,0,0,0
1612448745759,0.4901041666666667,0.5601851851851852,941,605,941,707,1920,1080,0,0,0,1,0,0,0,0
