timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom,data.currentMouseElement_element:navbar-top
1612448673692,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448673753,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448673845,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448673903,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448673963,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674023,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674083,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674145,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674206,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674266,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674326,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674387,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674447,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674508,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674568,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674630,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674689,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674750,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674811,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674870,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674930,0.5140625,0.8891666666666667,987,1067,987,1141,1920,1200,0,0,0,0,0,0,0,1,0
1612448674985,0.515625,0.8558333333333333,990,1027,990,1101,1920,1200,0,0,0,0,0,0,0,1,0
1612448675036,0.5380208333333333,0.7691666666666667,1033,923,1033,997,1920,1200,0,0,0,1,0,0,0,0,0
1612448675096,0.5734375,0.6425,1101,771,1101,845,1920,1200,0,0,0,0,1,0,0,0,0
1612448675157,0.590625,0.5541666666666667,1134,665,1134,739,1920,1200,0,0,0,0,0,0,1,0,0
1612448675278,0.5942708333333333,0.49666666666666665,1141,596,1141,670,1920,1200,0,0,0,0,0,0,1,0,0
1612448675335,0.5942708333333333,0.49166666666666664,1141,590,1141,664,1920,1200,0,0,0,0,0,0,1,0,0
1612448675386,0.5942708333333333,0.47833333333333333,1141,574,1141,648,1920,1200,0,0,0,0,0,0,1,0,0
1612448675445,0.5942708333333333,0.4658333333333333,1141,559,1141,633,1920,1200,0,0,0,0,0,0,1,0,0
1612448675507,0.5942708333333333,0.4525,1141,543,1141,617,1920,1200,0,0,0,0,0,0,1,0,0
1612448675566,0.5947916666666667,0.44583333333333336,1142,535,1142,609,1920,1200,0,0,0,0,0,0,1,0,0
1612448675627,0.5947916666666667,0.44583333333333336,1142,535,1142,609,1920,1200,0,0,0,0,0,0,1,0,0
1612448675686,0.5947916666666667,0.44583333333333336,1142,535,1142,609,1920,1200,0,0,0,0,0,0,1,0,0
1612448675746,0.5947916666666667,0.44583333333333336,1142,535,1142,609,1920,1200,0,0,0,0,0,0,1,0,0
1612448675807,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448675869,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448675929,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448675990,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676052,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676113,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676174,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676297,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676358,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676418,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676479,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676540,0.5932291666666667,0.44916666666666666,1139,539,1139,613,1920,1200,0,0,0,0,0,0,1,0,0
1612448676600,0.5921875,0.4558333333333333,1137,547,1137,621,1920,1200,0,0,0,0,0,0,1,0,0
1612448676651,0.590625,0.4666666666666667,1134,560,1134,634,1920,1200,0,0,0,0,0,0,1,0,0
