timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:item:text,data.currentMouseElement_element:navbar-bottom
1612448767166,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767243,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767294,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767344,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767394,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767445,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767495,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767545,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767596,0.5484375,0.8208333333333333,1053,985,2973,1116,1920,1200,0,0,0,0,0,0,0,1
1612448767646,0.5484375,0.8191666666666667,1053,983,2973,1114,1920,1200,0,0,0,0,0,0,0,1
1612448767696,0.5484375,0.8141666666666667,1053,977,2973,1108,1920,1200,0,0,0,0,0,0,0,1
1612448767746,0.5484375,0.7958333333333333,1053,955,2973,1086,1920,1200,0,0,0,0,0,0,0,1
1612448767797,0.5489583333333333,0.7783333333333333,1054,934,2974,1065,1920,1200,0,0,0,1,0,0,0,0
1612448767847,0.55,0.7666666666666667,1056,920,2976,1051,1920,1200,0,0,0,1,0,0,0,0
1612448767897,0.5505208333333333,0.7516666666666667,1057,902,2977,1033,1920,1200,0,0,0,1,0,0,0,0
1612448767948,0.5505208333333333,0.7416666666666667,1057,890,2977,1021,1920,1200,0,0,0,1,0,0,0,0
1612448767998,0.5505208333333333,0.7358333333333333,1057,883,2977,1014,1920,1200,0,0,0,1,0,0,0,0
1612448768048,0.5505208333333333,0.7358333333333333,1057,883,2977,1014,1920,1200,0,0,0,1,0,0,0,0
1612448768098,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768149,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768199,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768249,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768300,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768350,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768400,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768450,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768501,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768551,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768601,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768652,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768702,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768752,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768802,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768853,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768903,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448768953,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769004,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769054,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769104,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769154,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769205,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769255,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769305,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769356,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769406,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769456,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769507,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769557,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769658,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769708,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769758,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769809,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
1612448769859,0.55,0.735,1056,882,2976,1013,1920,1200,0,0,0,1,0,0,0,0
