timestamp,data.clientX_norm,data.clientY_norm,data.clientX,data.clientY,data.screenX,data.screenY,data.screenWidth,data.screenHeight,data.isClicking,data.isDblClicking,data.isTyping,data.currentMouseElement_element:background,data.currentMouseElement_element:item,data.currentMouseElement_element:item:answer,data.currentMouseElement_element:navbar-bottom
1612448745411,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745462,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745513,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745629,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745681,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745731,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745783,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745834,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745885,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448745987,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448746038,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448746090,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448746141,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448746191,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448746243,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
1612448746293,0.5114583333333333,0.8333333333333334,982,900,2902,1002,1920,1080,0,0,0,0,0,0,1
